,text,label
0,يا سي كريم الرئيس الذى تشتكى له هو أصله معين,1
1,حتى السعودية قاتلكم ماكمش عرب،واش بقا يا بعاصيص باش ترجعو لأصلكم الأمازيغي..اتفووووو,0
2,Thbliiii bravo souade,2
3,تحيالي ناس بن يزقن و لقصور في الغيبة 🌹🇩🇿🤣,2
4,انتم اغبياء او تتغابوا هي تتكلم بالانجليزية و اضفتوا ترجم,0
5,نستعرف بالضحية فايق الله يبارك صورهم في وقت حرج!!!,2
6,مدابينا نتعرفو على الامراض واسبابها شكرا ليكم على الحصة روعة وشكرا بزاف للدكتور,2
7,هذا الكلام افهم جيدا معناه وافهمه .فقط جملة واحدة غيرت تفكير كل رئيس في العالم ومخططاتهم الخبيثة . وتشغلهم في الشرق الأوسط . وهذه الجملة أغلقت فكرهم في الشرق الأوسط والتفكير في رؤساء الشرق الأوسط بالعامية (حصلهم وباصاهم مع الرؤساء الشرق الأوسط )وأبعدهم التفكير في إفريقيا والابتعاد عن ليبيا بطريقة غير مباشرة .وفي نفس الوقت كشف أفخاخ التي تحضر لنا وفي أفريقيا بأكملها . و لكن ضربهم لهذه الجمل و حماية فلسطين هو جعلهم يتخبطون .كل مخططاتهم من سنين ودخولهم إلى إفريقيا .أعطاهم الرجوع من بداية الصفر من جديد .ولكن الحذر من مخططاتهم والفطنة وحقدهم المدبر .المهم نقطة إيجابية . و أعطى دفع قوي الرجوع البلد الي مستوى رفيع في شمال إفريقيا .ولو في جمل .وتذكر ماضي الجزائر كيف كانت تحكم في البحر الأبيض المتوسط .والله يحمي بلدي .,2
8,Marete rajale matatek9mesiche hadake eldawere rabi yahedike.,2
9,تطوان فيها الأمازيغ 😂 بنقزديرة اش كاتخور هه‍ههه,0
10,علاش الجزائري كي يتزوج مع جزائرية مايديرلهاش هكذا ويغبنلها عمرها.......باش تعرفو بلي شعب منحط,0
11,شكون جاي هنا للميمز,1
12,وين الحلقة لي جاء فيها راجلها,1
13,حنا في باتنة اكل يعيفو,0
14,لا يحق لأي مغربي استيراد اي سيارة عمرها 7 سنوات بل 5 سنوات صحح معلوماتك ياضيف الحلقة,1
15,شاب انور عمبالي مزالو صغير,1
16,يارب يوفقكم ويرزقنا وليدات زيكم امين,2
17,ههههههه في شباب خويا رانا معاك كمل 😘😘😘,2
18,باركاو من التمنييك نتاعكم يا قنوات العار .حبيتوا توكلونا كلمة رئيس منتخب.شكون نتخب عليه نناك.و مكانش اللي يمثل الحراك دزو معاهم اللي يحب يهدر مع الحراك يجي للشارع.,0
19,دولة العميقة من زواف عملاء العصابة توفيق و اويحي هم الذين يحكمون الجزائر رجال اعمال سراقين اموال الشعب من ازفون و الاربعة ناثيراثن احتل الجزائر,0
20,وما انت ياتل قاع كيف كيف الله يهدي ماخلق,0
21,ربي يسطرهم إن شاء الله,2
22,صحا وليد عمي علي,2
23,ادعولي ننجح انا و صحباتي رانا معاوديين ربي يخليكم ❤❤🥺🥺,1
24,كبير وجايح نيvو طايح,0
25,جابلي ربي الجزائريين عقليتهم اكتر من.. موسيو KORONA 😂,0
26,حصة دايرة كي *بي عفسة ماتصلحش,0
27,هذه خطة قديمة هاتو الجديد شنقريحة قديم,1
28,HA HA HA HA AAAAAH YA BOUSBA3 LAZRA9 RHOUM YATMANKOU BIK,0
29,دولة البترول والغاز والشعب يموت في البحر غرقا هربا من الفقر والجوع والبطالة وبنية تحتية كارتية المغرب كبير عليكم وهرب عليكم في كل المجالات ..... ههههه خيرات المغرب وصلت لروسيا وأروبا وافريقيا وامريكا واسيا والخليج والصين ... المغرب لا يأخد سيلفي مع البطيخ ومانشدوش صف على الحليب والبطاطس ووصفهم وزير السياحة التونسي بالجياع,0
