Unnamed: 0,text,label
0,سي كرم رئس الذى شكى اصل عين,1
1,سعد قتل اكمش عربواش بقا عاصيص رجعو أصل امازيغياتفووووو,0
2,thbliiii bravo souade,2
3,حيل ناس بن يزق قصر غيب,2
4,نتم غبياء تغب كلم انجليزية اضف رجم,0
5,عرف ضحة فيق الل يبر صور وقت حرج,2
6,دبي عرفو مرض سبب شكر يكم حصة روع شكر بزف دكتور,2
7,كلم فهم جيد عنه فهم فقط جمل غير فكر رئس علم خطط خبث شغل شرق وسط وهذ جمل غلق فكر شرق وسط فكر رؤساء شرق وسط عمي حصل وبص رؤساء شرق وسط أبعد فكر فرق بعد ليب طرق بشر وفي نفس وقت كشف فخخ حضر وفي فرق أكمل ضرب لهذ جمل حمي لسط جعل خبط خطط سنن دخل فرق اعط رجع بدي صفر جدد حذر خطط فطن حقد دبر مهم نقط يجب عطى دفع قوي رجع بلد ستى رفع شمل فرق جمل ذكر اضي جزر كانت حكم بحر ابض توسط ولل يحم بلد,2
8,marete rajale matatek9mesiche hadake eldawere rabi yahedike,2
9,تطو ازغ بنقزديرة كاتخور ههه,0
10,جزر تزج جزر مايديرلهاش غبنل عمرهاباش عرفو بلي شعب نحط,0
11,شكن جاي يمز,1
12,حلق جاء رجل,1
13,بتن اكل عيفو,0
14,يحق لأي غرب يرد سير عمر 7 سنو 5 سنو صحح معلوماتك اضف حلق,1
15,شاب انر عمبال زلو صغر,1
16,يرب وفق رزق ولد زيكم امن,2
17,ههه شبب خوا كمل,2
18,ركو مني نتع قنو عار حبت كلو كلم رئس منتخبش تخب نكو الل مثل حرك دزو الل يحب هدر حرك يجي شرع,0
19,دول عمق زوف عملاء عصب وفق اوح حكم جزر رجل عمل سرق مول شعب ازف ربع ناثيراثن حتل جزر,0
20,يتل قاع الل يهد اخلق,0
21,ربي سطر شاء الل,2
22,صحا ولد عمي علي,2
23,دعل نجح صحب عاد ربي يخل,1
24,كبر جيح يvو طيح,0
25,جبل ربي جزر عقل كتر وسو korona,0
26,حصة دير عفس ماتصلحش,0
27,خطة قدم هتو جدد شنقريح قدم,1
28,ha ha ha ha aaaaah ya bousba3 lazra9 rhoum yatmankou bik,0
29,دول ترل غاز شعب يمت بحر غرق هرب فقر جوع بطل وبن حتي كرت غرب كبر هرب جال ههه خير غرب وصل لرس أرب فرق ومر واس خلج صين غرب أخد يلف بطخ ومانشدوش صف حلب ططس وصف وزر سيح ونس جيع,0
30,الل يحشم هدا شيب هوا وقص وشك حتقبل هدا,0
31,رنمج درل شكل خطب ملي شاف حصة حلف لوك لكن نلق دخلو سوس دخل دوس كوب تلف وخل لهل ربح,0
32,اسف بنت ضحة,1
33,احب سيد رشد كن ضدك ردء حجب انه فرض وليس خير سلم,2
34,جزر محة خلق,1
35,هدر ربي حرقو جمر جهنم صوتو بين شيط كذب,0
